epoch,class,box_loss,mAP50,mAP50-95,precision,recall,fps
1,placa de carro,,0.2936440459353183,,,,
1,placa de carro,,0.2979932212796183,,,,
1,placa de carro,,0.2979932212796183,,0.2591741035121199,0.6458333333333334,48.00107088064868
2,placa de carro,,0.2979932212796183,,0.2591741035121199,0.6458333333333334,48.00107088064868
3,placa de carro,,0.2979932212796183,,0.2591741035121199,0.6458333333333334,48.00107088064868
4,placa de carro,,0.2979932212796183,,0.2591741035121199,0.6458333333333334,48.00107088064868
5,placa de carro,,0.2979932212796183,,0.2591741035121199,0.6458333333333334,48.00107088064868
1,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
2,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
3,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
4,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
5,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
6,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
7,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
8,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
9,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
10,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
11,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
12,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
13,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
14,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
15,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
16,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
17,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
18,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
19,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
20,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
21,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
22,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
23,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
24,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
25,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
26,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
27,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
28,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
29,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
30,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
31,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
32,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
33,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
34,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
35,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
36,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
37,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
38,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
39,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
40,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
41,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
42,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
43,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
44,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
45,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
46,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
47,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
48,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
49,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
50,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
51,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
52,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
53,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
54,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
55,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
56,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
57,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
58,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
59,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
60,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
61,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
62,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
63,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
64,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
65,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
66,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
67,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
68,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
69,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
70,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
71,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
72,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
73,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
74,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
75,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
76,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
77,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
78,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
79,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
80,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
81,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
82,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
83,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
84,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
85,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
86,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
87,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
88,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
89,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
90,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
91,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
92,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
93,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
94,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
95,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
96,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
97,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
98,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
99,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
100,placa de carro,,0.29364404593531834,,0.18238425991481036,1.0,42.97661072827904
